Revision, Part, Chapter, Section
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.2 Overview'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3 Features of the Input/Output Specification'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.1 Functional Features'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.2 Physical Features'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.3 Performance Features'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.4 Contents'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.5 Terminology'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.6 Conventions'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2 Processing Element Models'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.1 Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.2 Integrated Processor-Memory Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.3 Memory-Only Processing Element Model'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.4 Processor-Only Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.5 I/O Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.6 Switch Processing Element'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3 System Issues'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3.1 Operation Ordering'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3.2 Transaction Delivery'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3.2.1 Unordered Delivery System Issues'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3.2.2 Ordered Delivery System Issues'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.3.3 Deadlock Considerations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.1 Introduction'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.2 I/O Operations Cross Reference'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.3 I/O Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.1 Read Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.2 Write and Streaming-Write Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.3 Write-With-Response Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.3.4 Atomic (Read-Modify-Write) Operations'
'4.0', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 3 Operation Descriptions', '3.4 System Operations'
