Revision, Part, Chapter, Section
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.1 Introduction'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.2 Overview'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3 Features of the Input/Output Specification'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.1 Functional Features'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.2 Physical Features'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.3.3 Performance Features'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.4 Contents'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.5 Terminology'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 1 Overview', '1.6 Conventions'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.1 Introduction'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2 Processing Element Models'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.1 Processor-Memory Processing Element Model'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.2 Integrated Processor-Memory Processing Element Model'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.3 Memory-Only Processing Element Model'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.4 Processor-Only Processing Element'
'test', 'RapidIO Interconnect Specification Part 1: Input/Output Logical Specification', 'Chapter 2 System Models', '2.2.5 I/O Processing Element'
